颜色,红,绿,蓝,简介,权重
爱丽丝蓝,240,248,255,<name>选中了爱丽丝蓝，爱丽丝蓝，是一种颜色（英文：Alice-Blue），是蓝色颜色之一，接近浅蓝灰色或钢青色。是由美国总统西奥多·罗斯福之女爱丽丝·罗斯福·隆约创造起这引起时尚感觉的颜色。,10
碧绿,127,255,212,<name>选中了碧绿，通常是指清澈、通透、呈绿色。也指翡翠的绿色之一。,10
米色,245,245,220,<name>选中了米色，米色是介乎于驼色和白色之间的一种都市色彩，它具有驼色的优雅大气，但又比驼色多了几分清爽宜人；它具有白色的纯净浪漫，但又比白色多了几分温暖和高贵。,10
褐色,165,42,42,<name>选中了军服蓝，这个颜色的简介暂时还没有哦,10
军服蓝,95,158,160,<name>选中了军服蓝，这个颜色的简介暂时还没有哦,10
查特酒绿,127,255,17,<name>选中了查特酒绿，一种药酒，诞生于17世纪的法国,10
巧克力色,210,105,30,<name>选中了巧克力色，视觉上给人一种温暖，积极的感觉，但由于本身纯度较低，视觉上使人产生浓重和厚重的感觉， 喜欢巧克力色的人一般气质高雅。,10
珊瑚红,255,127,80,<name>选中了珊瑚红，珊瑚红是世界上最著名的红色大理石之一。西班牙总共拥有10个采石场，均位于阿里砍特省。最大的采石场每月产2.5万立方米，最小的月产量也可达5000立方米。,10
矢车菊蓝,100,149,237,<name>选中了矢车菊蓝，矢车菊蓝是蓝色之一，介乎绿色和蓝色之间。矢车菊蓝也是Crayola蜡笔其中之一的颜色。,10
玉米穗黄,255,248,220,<name>选中了玉米穗黄，这个颜色的简介暂时还没有哦,10
绯红,220,20,60,<name>选中了绯红，较之猩红(Scarlet)蓝色分量要多些。,10
青色,0,255,255,<name>选中了青色，青色，古代本义是蓝色，但在绘画颜色中，如果是蓝色中混有少量的绿色，则称为青色（是减法三原色之一），它有多个级别。类似于翡翠玉石的颜色。,10
深蓝,0,0,139,<name>选中了深蓝，深蓝色（Dark Blue）一词泛指较深的蓝色，是比较黑的蓝色。,10
